,id,timestamp,age_range,industry,job,job_context,annual_salary,add_compensation,currency,other_currency,income_context,country,state,all_experience,field_experience,education-level,gender,race
362,363,2021-04-27 12:11:47,45-54,Government and Public Administration,Attorney,NaN,144128,0.0,USD,NaN,NaN,United States,District of Columbia,21 - 30 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
363,364,2021-04-27 12:11:48,35-44,Hospitality & Events,Director of Marketing and Events,NaN,65000,5000.0,USD,NaN,NaN,United States,Virginia,11 - 20 years,11 - 20 years,College degree,Woman,White
364,365,2021-04-27 12:12:02,35-44,Health care,Clinical Research Coordinator,NaN,52500,0.0,USD,NaN,NaN,United States,Indiana,21 - 30 years,8 - 10 years,Master's degree,Woman,White
365,366,2021-04-27 12:12:11,25-34,Business or Consulting,Senior Consultant,Human Centered Design specialist,123000,0.0,USD,NaN,NaN,United States,Maryland,8 - 10 years,5-7 years,Master's degree,Woman,White
366,367,2021-04-27 12:12:16,25-34,clinical research,associate project leader,NaN,89000,0.0,USD,NaN,"Contract/hourly rate, no pto",United States,North Carolina,8 - 10 years,8 - 10 years,Master's degree,Woman,White
367,368,2021-04-27 12:12:21,25-34,Health care,Senior Project Coordinator,I work in telemedicine implementing consult services at facilities outside my own hospital's system.,67000,0.0,USD,NaN,NaN,United States,Massachusetts,8 - 10 years,8 - 10 years,College degree,Woman,White
368,369,2021-04-27 12:12:40,45-54,Computing or Tech,Senior Manager,NaN,175000,5000.0,USD,NaN,NaN,United States,Pennsylvania,21 - 30 years,21 - 30 years,Master's degree,Woman,White
369,370,2021-04-27 12:12:52,35-44,Nonprofits,Associate Director of Guest Services,NaN,65000,0.0,USD,NaN,NaN,United States,Ohio,11 - 20 years,11 - 20 years,College degree,Woman,White
370,371,2021-04-27 12:13:25,55-64,Business or Consulting,Director of Consolidations and Reporting,NaN,200000,0.0,USD,NaN,"All income is paid through 1099 instead W-2. Definitely illegal, but I'm cool with it.",United States,Illinois,21 - 30 years,11 - 20 years,Master's degree,Man,White
371,372,2021-04-27 12:13:27,35-44,Engineering or Manufacturing,Applications Engineer,NaN,106193,7000.0,USD,NaN,NaN,United States,Colorado,5-7 years,2 - 4 years,PhD,Woman,White
372,373,2021-04-27 12:13:33,25-34,Nonprofits,Executive Assistant,NaN,48000,0.0,CAD,NaN,NaN,Canada,NaN,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
373,374,2021-04-27 12:14:13,45-54,Education (Higher Education),Office Supervisor,NaN,50000,0.0,USD,NaN,NaN,United States,Michigan,31 - 40 years,5-7 years,College degree,Woman,White
374,375,2021-04-27 12:14:25,25-34,Entertainment,Director of PR,NaN,122000,12000.0,USD,NaN,NaN,United States,New York,11 - 20 years,11 - 20 years,College degree,Woman,White
375,376,2021-04-27 12:14:35,25-34,Public Librarian,Librarian,NaN,41800,0.0,USD,NaN,NaN,United States,Illinois,5-7 years,5-7 years,Master's degree,Woman,White
376,377,2021-04-27 12:14:52,25-34,Nonprofits,"Manager, Partner Engagement",NaN,59600,1500.0,USD,NaN,NaN,United States,District of Columbia,5-7 years,5-7 years,College degree,Man,White
377,378,2021-04-27 12:16:02,45-54,Nonprofits,Executive Director,NaN,199990,0.0,USD,NaN,NaN,United States,Virginia,21 - 30 years,21 - 30 years,Master's degree,Man,White
378,379,2021-04-27 12:16:15,25-34,Law,Patent Prosecution Paralegal,NaN,80000,0.0,USD,NaN,NaN,United States,Washington,8 - 10 years,5-7 years,College degree,Woman,White
379,380,2021-04-27 12:16:49,25-34,Health care,Communications Coordinator,NaN,65000,0.0,USD,NaN,NaN,United States,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White
380,381,2021-04-27 12:16:50,35-44,Nonprofits,Adminitrative Assistant,NaN,52000,2500.0,USD,NaN,NaN,United States,Minnesota,5-7 years,5-7 years,College degree,Man,White
381,382,2021-04-27 12:17:11,55-64,"Accounting, Banking & Finance",Vice President Credit Card Operations,NaN,132000,10000.0,USD,NaN,NaN,United States,Delaware,21 - 30 years,11 - 20 years,Master's degree,Woman,White
382,383,2021-04-27 12:17:17,45-54,Public Library,Director,NaN,61000,0.0,USD,NaN,NaN,United States,Michigan,21 - 30 years,21 - 30 years,Master's degree,Woman,White
383,384,2021-04-27 12:17:19,25-34,Nonprofits,Development Director,Head of fundraising,65000,0.0,USD,NaN,NaN,United States,Washington,5-7 years,5-7 years,College degree,Woman,White
384,385,2021-04-27 12:17:21,25-34,Computing or Tech,Strategy Lead,NaN,105000,0.0,USD,NaN,NaN,United States,Washington,2 - 4 years,1 year or less,Master's degree,Woman,Another option not listed here or prefer not to answer
385,386,2021-04-27 12:17:22,45-54,Health care,Vice President of Client Services,Oversight of project teams,115000,5000.0,USD,NaN,NaN,United States,Maryland,21 - 30 years,21 - 30 years,College degree,Woman,White
386,387,2021-04-27 12:17:34,25-34,Education (Higher Education),Research Fellow/Lecturer,non-tenure track,69000,0.0,USD,NaN,NaN,United States,Massachusetts,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
387,388,2021-04-27 12:18:43,45-54,Education (Higher Education),Instructional Designer,NaN,64671,0.0,USD,NaN,NaN,United States,Ohio,11 - 20 years,11 - 20 years,College degree,Woman,White
388,389,2021-04-27 12:18:52,25-34,Education (Primary/Secondary),Preschool Teacher,NaN,33000,1000.0,USD,NaN,NaN,United States,South Carolina,2 - 4 years,2 - 4 years,College degree,Woman,White
389,390,2021-04-27 12:19:12,25-34,Computing or Tech,CX Coach,NaN,46000,1000.0,USD,NaN,NaN,United States,Utah,8 - 10 years,2 - 4 years,High School,Woman,White
390,391,2021-04-27 12:19:32,25-34,Education (Primary/Secondary),Teacher,NaN,80000,0.0,CAD,NaN,NaN,Canada,NaN,5-7 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
391,392,2021-04-27 12:19:41,25-34,Computing or Tech,Product manager,NaN,68000,0.0,USD,NaN,NaN,United States,New Jersey,5-7 years,2 - 4 years,High School,Woman,White
392,393,2021-04-27 12:19:54,35-44,Government and Public Administration,Internal Audit Director,NaN,92000,0.0,USD,NaN,NaN,United States,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White
393,394,2021-04-27 12:20:06,35-44,Transport or Logistics,Dispatcher,NaN,55000,5000.0,CAD,NaN,NaN,Canada,NaN,21 - 30 years,11 - 20 years,Some college,Woman,White
394,395,2021-04-27 12:20:08,35-44,Computing or Tech,Senior Engineering Manager,NaN,165000,88750.0,USD,NaN,"$24,750 (15%) annual bonus, $64,000 in RSU (restricted stock units) annually",United States,Minnesota,11 - 20 years,11 - 20 years,College degree,Woman,White
395,396,2021-04-27 12:20:24,25-34,Transport or Logistics,International Customer Service,NaN,42000,0.0,USD,NaN,NaN,United States,New Jersey,8 - 10 years,5-7 years,College degree,Woman,White
396,397,2021-04-27 12:21:06,35-44,Education (Higher Education),Assistant professor,NaN,89500,0.0,USD,NaN,NaN,United States,New York,8 - 10 years,5-7 years,PhD,Woman,White
397,398,2021-04-27 12:22:09,55-64,Librarian and Assistant Manager of a library,Librarian and Assistant Branch Manager,NaN,81000,0.0,USD,NaN,NaN,United States,Florida,21 - 30 years,31 - 40 years,Master's degree,Woman,White
398,399,2021-04-27 12:22:09,25-34,Media & Digital,Medical Writer/Editor,NaN,57766,0.0,CAD,NaN,NaN,Canada,NaN,5-7 years,5-7 years,Master's degree,Woman,White
399,400,2021-04-27 12:22:38,35-44,Health care,"Assistant Director, Direct Marketing",I work in direct response fundraising,75000,3750.0,USD,NaN,NaN,United States,Massachusetts,11 - 20 years,2 - 4 years,College degree,Woman,White
400,401,2021-04-27 12:23:02,35-44,Nonprofits,Grants Manager,NaN,80000,0.0,USD,NaN,NaN,United States,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
401,402,2021-04-27 12:23:36,35-44,Nonprofits,Lab & Special Projects Director,NaN,63375,0.0,USD,NaN,NaN,United States,Minnesota,11 - 20 years,11 - 20 years,College degree,Woman,White
402,403,2021-04-27 12:23:41,25-34,Property or Construction,On-site Maintenance,NaN,48000,0.0,USD,NaN,NaN,United States,Wisconsin,8 - 10 years,5-7 years,Some college,Man,White
403,404,2021-04-27 12:23:50,35-44,Education (Higher Education),Director of Wellness,Student Affairs/Health Promotion,79500,0.0,USD,NaN,NaN,United States,Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Woman,White
404,405,2021-04-27 12:24:14,35-44,Computing or Tech,Lead Software Engineer,NaN,156000,10000.0,USD,NaN,NaN,United States,Alabama,11 - 20 years,11 - 20 years,College degree,Man,White
404,405,2021-04-27 12:24:14,35-44,Computing or Tech,Lead Software Engineer,NaN,156000,10000.0,USD,NaN,NaN,United States,District of Columbia,11 - 20 years,11 - 20 years,College degree,Man,White
405,406,2021-04-27 12:24:25,25-34,"Leisure, Sport & Tourism",Museum curator,NaN,57000,0.0,USD,NaN,NaN,United States,Colorado,2 - 4 years,8 - 10 years,Master's degree,Woman,White
406,407,2021-04-27 12:24:49,35-44,Engineering or Manufacturing,Financial Analyst,NaN,83000,0.0,USD,NaN,NaN,United States,Wisconsin,11 - 20 years,11 - 20 years,Master's degree,Woman,White
407,408,2021-04-27 12:24:54,25-34,Education (Higher Education),Director of Outreach and Compliance,NaN,55000,0.0,USD,NaN,NaN,United States,Arkansas,8 - 10 years,5-7 years,College degree,Woman,White
408,409,2021-04-27 12:25:09,45-54,Instructional Design and Training,Senior Instructional Designer,NaN,104000,1000.0,USD,NaN,NaN,United States,Virginia,21 - 30 years,11 - 20 years,College degree,Woman,White
409,410,2021-04-27 12:25:17,35-44,Health care,Clinical informatics,I train and support healthcare software,58000,1000.0,USD,NaN,NaN,United States,Wisconsin,11 - 20 years,8 - 10 years,Master's degree,Woman,White
410,411,2021-04-27 12:25:19,25-34,Education (Other),Librarian,NaN,70270,250.0,CAD,NaN,NaN,Canada,NaN,11 - 20 years,5-7 years,Master's degree,Non-binary,White
411,412,2021-04-27 12:25:19,45-54,Engineering or Manufacturing,Senior Field Technician,NaN,52000,0.0,USD,NaN,NaN,United States,Kansas,21 - 30 years,8 - 10 years,College degree,Woman,White
412,413,2021-04-27 12:25:27,35-44,Health care,Enterprise Support Coordinator,Insurance and employer coordination of coverage for a provider's office,46800,7000.0,USD,NaN,NaN,United States,Illinois,8 - 10 years,8 - 10 years,College degree,Woman,White
413,414,2021-04-27 12:25:33,25-34,Hospitality & Events,Accounting Clerk/Sales Coordinator,"I work for the same company, but hold two positions with marginally different pay, each one part time, but the hours work out to 40 minimum each week. This was largely done to hide the fact that my GM was determined to keep me and thus hide my salary in two different departments.",29120,0.0,USD,NaN,NaN,United States,Texas,8 - 10 years,5-7 years,College degree,Woman,White
414,415,2021-04-27 12:26:11,25-34,Insurance,Risk Manager,NaN,132000,7500.0,USD,NaN,NaN,United States,Illinois,5-7 years,2 - 4 years,Master's degree,Woman,White
415,416,2021-04-27 12:26:15,45-54,Business or Consulting,Senior copywriter,internal communications,63000,0.0,USD,NaN,NaN,United States,Pennsylvania,11 - 20 years,8 - 10 years,College degree,Woman,White
416,417,2021-04-27 12:26:34,55-64,"Accounting, Banking & Finance",BSA/Compliance Officer,NaN,68560,0.0,USD,NaN,NaN,United States,Minnesota,31 - 40 years,1 year or less,Some college,Woman,White
417,418,2021-04-27 12:26:35,25-34,Nonprofits,Representative Payee Reviewer,I audit people/organizations who manage SSA/SSI funds on behalf of folks with developmental disabilities or nursing/group home residents,37000,37037.0,USD,NaN,NaN,United States,Ohio,8 - 10 years,8 - 10 years,College degree,Woman,White
418,419,2021-04-27 12:26:36,35-44,Health care,Director,Clinical laboratory,200000,50000.0,USD,NaN,NaN,United States,Connecticut,5-7 years,5-7 years,PhD,Woman,White
419,420,2021-04-27 12:26:54,45-54,Nonprofits,Director of Fundraising & Development,NaN,95000,5000.0,USD,NaN,NaN,United States,Maryland,21 - 30 years,21 - 30 years,Master's degree,Woman,White
420,421,2021-04-27 12:26:58,45-54,Health care,Business Intelligence Analyst,"Includes data architecture, coding/programming, and creating visual reporting",100800,4000.0,USD,NaN,NaN,United States,Washington,21 - 30 years,8 - 10 years,College degree,Woman,White
421,422,2021-04-27 12:27:40,35-44,Computing or Tech,Product Manager,NaN,200000,0.0,USD,NaN,"Total Comp = Salary ($200K) + Equity ($100K, varies) + Bonuses + Benefits",United States,California,11 - 20 years,5-7 years,College degree,Woman,Asian or Asian American
422,423,2021-04-27 12:27:54,25-34,Computing or Tech,Business Operations,Internal strategic project team,186000,112000.0,USD,NaN,Bonus is in equity grant at tech company,United States,California,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
423,424,2021-04-27 12:27:57,45-54,Transport or Logistics,Logistics Specialist,NaN,54000,0.0,USD,NaN,NaN,United States,New York,21 - 30 years,11 - 20 years,College degree,Woman,White
424,425,2021-04-27 12:28:01,25-34,Computing or Tech,Engagement Manager,Technical Project Manager,110000,11000.0,USD,NaN,Additional Monetary Compensation = 10% bonus,United States,Washington,8 - 10 years,5-7 years,Some college,Man,White
425,426,2021-04-27 12:28:05,55-64,Education (Primary/Secondary),Middle school teacher,NaN,82000,0.0,USD,NaN,NaN,United States,New Jersey,31 - 40 years,31 - 40 years,Master's degree,Woman,White
426,427,2021-04-27 12:28:25,25-34,Public library,IT Librarian,"Librarian, plus onsite IT support",40000,0.0,USD,NaN,NaN,United States,Nevada,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
427,428,2021-04-27 12:28:29,25-34,Health care,Senior Project Manager,NaN,96000,6000.0,USD,NaN,NaN,United States,Pennsylvania,11 - 20 years,5-7 years,Master's degree,Woman,White
428,429,2021-04-27 12:28:46,25-34,Computing or Tech,Network administrator,Cleared,82000,0.0,USD,NaN,NaN,United States,Colorado,5-7 years,5-7 years,Some college,Man,White
429,430,2021-04-27 12:28:52,35-44,Library,Technical Services Manager,NaN,48028,0.0,USD,NaN,NaN,United States,Oregon,5-7 years,2 - 4 years,Master's degree,Woman,White
430,431,2021-04-27 12:28:52,35-44,Consumer Good (Toys),Sr. Operations Manager,NaN,92000,5000.0,CAD,NaN,NaN,Canada,NaN,11 - 20 years,11 - 20 years,College degree,Woman,White
431,432,2021-04-27 12:29:03,35-44,"Accounting, Banking & Finance",Senior Accountant,No accounting designation,73000,3000.0,CAD,NaN,17 years at current company,Canada,NaN,11 - 20 years,11 - 20 years,Some college,Woman,White
432,433,2021-04-27 12:29:21,25-34,Law,Associate Attorney,NaN,62400,1500.0,Other,TTD,NaN,Trinidad and Tobago,NaN,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here or prefer not to answer
433,434,2021-04-27 12:29:48,45-54,Insurance,IT Analyst,NaN,87000,5000.0,USD,NaN,NaN,United States,Pennsylvania,21 - 30 years,21 - 30 years,Master's degree,Woman,White
434,435,2021-04-27 12:29:51,35-44,Health care,Hospital staff pharmacist,Staff pharmacist in inpatient hospital - no residency required,125819,0.0,USD,NaN,$55.99 base hourly plus $4.50 shift differential,United States,Pennsylvania,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
435,436,2021-04-27 12:30:08,25-34,Health care,Office Manager,NaN,40000,1500.0,USD,NaN,NaN,United States,Virginia,2 - 4 years,2 - 4 years,Master's degree,Woman,White
436,437,2021-04-27 12:30:13,25-34,"Accounting, Banking & Finance",Business Consultant,NaN,90000,10000.0,USD,NaN,NaN,United States,Iowa,8 - 10 years,8 - 10 years,College degree,Woman,Hispanic Latino or Spanish origin
436,437,2021-04-27 12:30:13,25-34,"Accounting, Banking & Finance",Business Consultant,NaN,90000,10000.0,USD,NaN,NaN,United States,Iowa,8 - 10 years,8 - 10 years,College degree,Woman,White
437,438,2021-04-27 12:30:46,35-44,Computing or Tech,Lead Accessibility Auditor,Accessibility = digital accessibility,62400,0.0,USD,NaN,NaN,United States,Oregon,11 - 20 years,2 - 4 years,Master's degree,Woman,White
438,439,2021-04-27 12:31:03,25-34,Government and Public Administration,Strategic Projects Manager,work in public safety,78000,0.0,USD,NaN,NaN,United States,Illinois,5-7 years,2 - 4 years,Master's degree,Man,White
439,440,2021-04-27 12:31:05,25-34,Government and Public Administration,Corporation Tax Specialist,NaN,52500,0.0,GBP,NaN,NaN,United Kingdom,NaN,2 - 4 years,2 - 4 years,Master's degree,Woman,White
440,441,2021-04-27 12:31:45,25-34,Education (Primary/Secondary),Teacher,NaN,46500,0.0,CAD,NaN,NaN,Canada,NaN,11 - 20 years,5-7 years,College degree,Woman,White
441,442,2021-04-27 12:32:59,25-34,Nonprofits,Membership & Student Academy Specialist,I work at a professional association doing essentially two jobs - classic membership stuff and running everything to do with student membership and programs.,41000,0.0,USD,NaN,NaN,United States,Virginia,5-7 years,2 - 4 years,Some college,Woman,White
442,443,2021-04-27 12:33:20,45-54,Insurance,Director of Customer Service,NaN,140000,0.0,USD,NaN,NaN,United States,California,21 - 30 years,21 - 30 years,College degree,Woman,White
443,444,2021-04-27 12:33:22,25-34,Computing or Tech,Staff Accountant,NaN,56160,250.0,USD,NaN,NaN,United States,Maryland,5-7 years,2 - 4 years,College degree,Woman,White
444,445,2021-04-27 12:33:39,25-34,Computing or Tech,Finance Analyst,NaN,115000,11500.0,USD,NaN,NaN,United States,Washington,5-7 years,2 - 4 years,College degree,Man,White
445,446,2021-04-27 12:33:58,25-34,"Accounting, Banking & Finance",Mortgage Loan Processor,NaN,38875,3000.0,USD,NaN,NaN,United States,Indiana,5-7 years,2 - 4 years,College degree,Woman,White
446,447,2021-04-27 12:34:17,25-34,Government and Public Administration,Senior Research Applications Developer,NaN,53000,0.0,GBP,NaN,NaN,United Kingdom,NaN,5-7 years,5-7 years,PhD,Woman,White
447,448,2021-04-27 12:34:28,35-44,Engineering or Manufacturing,Lead Engineer,NaN,126000,6000.0,USD,NaN,NaN,United States,Wisconsin,11 - 20 years,11 - 20 years,College degree,Woman,White
448,449,2021-04-27 12:34:46,45-54,Nonprofits,Director,NaN,170000,1500.0,USD,NaN,NaN,United States,Virginia,21 - 30 years,31 - 40 years,PhD,Woman,White
449,450,2021-04-27 12:34:52,25-34,Biology/Research,Lab tech,I am a lab tech/manager but also do research,40000,0.0,USD,NaN,NaN,United States,New York,8 - 10 years,2 - 4 years,Master's degree,Non-binary,Asian or Asian American
449,450,2021-04-27 12:34:52,25-34,Biology/Research,Lab tech,I am a lab tech/manager but also do research,40000,0.0,USD,NaN,NaN,United States,New York,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White
450,451,2021-04-27 12:35:19,35-44,Insurance,Customer service rep,Sell to and service insurance clients,42000,4000.0,CAD,NaN,NaN,Canada,NaN,11 - 20 years,1 year or less,College degree,Woman,White
451,452,2021-04-27 12:35:29,35-44,Nonprofits,Senior Director of Development,NaN,51000,0.0,USD,NaN,NaN,United States,Florida,11 - 20 years,11 - 20 years,Master's degree,Woman,White
452,453,2021-04-27 12:35:49,35-44,Health care,Nurse,Bedside nurse,65000,0.0,USD,NaN,NaN,United States,Washington,2 - 4 years,2 - 4 years,College degree,Woman,White
453,454,2021-04-27 12:35:50,25-34,"Accounting, Banking & Finance",Senior Associate - Audit,NaN,75000,8250.0,USD,NaN,NaN,United States,Maryland,5-7 years,2 - 4 years,College degree,Man,White
454,455,2021-04-27 12:36:15,35-44,Engineering or Manufacturing,Engineering Manager,Within a specialized field of applied physics,131000,0.0,USD,NaN,NaN,United States,Arizona,11 - 20 years,8 - 10 years,Master's degree,Woman,White
455,456,2021-04-27 12:36:24,35-44,Education (Higher Education),Senior Systems Analyst,(functional/business analyst),98000,0.0,USD,NaN,NaN,United States,Illinois,11 - 20 years,5-7 years,College degree,Woman,White
456,457,2021-04-27 12:36:48,45-54,Health care,Regulatory Affairs Associate,NaN,80000,2500.0,USD,NaN,NaN,United States,North Carolina,21 - 30 years,11 - 20 years,Master's degree,Man,White
457,458,2021-04-27 12:36:55,25-34,Insurance,Product Design Manager,NaN,126000,25000.0,USD,NaN,NaN,United States,Illinois,5-7 years,2 - 4 years,College degree,Woman,White
458,459,2021-04-27 12:37:06,45-54,Engineering or Manufacturing,Quality Engineer,NaN,100000,1000.0,USD,NaN,NaN,United States,Ohio,21 - 30 years,21 - 30 years,Master's degree,Woman,White
459,460,2021-04-27 12:37:19,25-34,Education (Higher Education),User Services Librarian,NaN,50000,0.0,USD,NaN,NaN,United States,Maryland,5-7 years,5-7 years,Master's degree,Woman,White
460,461,2021-04-27 12:37:22,55-64,Insurance,Training manager,NaN,86000,4000.0,USD,NaN,NaN,United States,Georgia,21 - 30 years,21 - 30 years,College degree,Woman,White
461,462,2021-04-27 12:37:30,35-44,Law,Attorney,NaN,95000,0.0,USD,NaN,NaN,United States,District of Columbia,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White
462,463,2021-04-27 12:38:12,35-44,Education (Higher Education),Assistant Director of Finance,NaN,91000,0.0,USD,NaN,NaN,United States,Massachusetts,8 - 10 years,5-7 years,Master's degree,Woman,White
463,464,2021-04-27 12:38:33,35-44,Insurance,Service manager,NaN,36000,4000.0,USD,NaN,NaN,United States,Texas,11 - 20 years,2 - 4 years,College degree,Woman,White
464,465,2021-04-27 12:38:45,25-34,Computing or Tech,Automation engineer,NaN,70000,0.0,USD,NaN,NaN,United States,Minnesota,8 - 10 years,5-7 years,College degree,Woman,Asian or Asian American
464,465,2021-04-27 12:38:45,25-34,Computing or Tech,Automation engineer,NaN,70000,0.0,USD,NaN,NaN,United States,Minnesota,8 - 10 years,5-7 years,College degree,Woman,White
465,466,2021-04-27 12:38:57,25-34,Nonprofits,Director of Events,NaN,100000,0.0,USD,NaN,NaN,United States,District of Columbia,8 - 10 years,5-7 years,College degree,Woman,White
466,467,2021-04-27 12:39:20,45-54,Energy: oil & gas,GIS Lead,I lead the Geographic Information Systems unit of a mid-size engineering consulting firm.,75000,1200.0,USD,NaN,NaN,United States,Minnesota,21 - 30 years,11 - 20 years,PhD,Man,White
467,468,2021-04-27 12:39:46,25-34,Government and Public Administration,GIS (Geographic Information Systems) Manager,Digital Mapping and Database management,75000,0.0,CAD,NaN,NaN,Canada,NaN,8 - 10 years,5-7 years,College degree,Woman,White
468,469,2021-04-27 12:39:54,25-34,Education (Primary/Secondary),Teacher,NaN,42000,0.0,USD,NaN,NaN,United States,Indiana,8 - 10 years,5-7 years,Master's degree,Woman,White
469,470,2021-04-27 12:40:34,25-34,Computing or Tech,Onboarding Specialist,I also assist our PR team. I am not compensated extra for that work.,54000,0.0,USD,NaN,I make constant overtime so my salary number includes that,United States,Washington,5-7 years,2 - 4 years,College degree,Woman,White
470,471,2021-04-27 12:41:39,25-34,Nonprofits,Manager,Policy an Advocacy,80000,0.0,USD,NaN,NaN,United States,District of Columbia,8 - 10 years,8 - 10 years,Master's degree,Woman,White
471,472,2021-04-27 12:42:19,35-44,"Leisure, Sport & Tourism",VP,Trade association for gaming/travel/leisure industry,215000,14000.0,USD,NaN,NaN,United States,District of Columbia,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
472,473,2021-04-27 12:43:07,25-34,Nonprofits,Development associate,NaN,45000,0.0,USD,NaN,NaN,United States,Massachusetts,2 - 4 years,2 - 4 years,Master's degree,Woman,White
473,474,2021-04-27 12:43:19,25-34,Health care,Registered Nurse,NaN,95000,0.0,USD,NaN,NaN,United States,California,2 - 4 years,2 - 4 years,College degree,Woman,Hispanic Latino or Spanish origin
474,475,2021-04-27 12:43:24,45-54,Automtive Repair,Parts Manager,NaN,50000,6000.0,USD,NaN,NaN,United States,Texas,31 - 40 years,11 - 20 years,High School,Woman,White
475,476,2021-04-27 12:43:41,25-34,Nonprofits,Membership Director,NaN,44000,0.0,USD,NaN,NaN,United States,New York,5-7 years,5-7 years,College degree,Woman,White
476,477,2021-04-27 12:44:13,25-34,Social Work,Social worker,"Social worker in a public defender office (assisting clients + attorneys on cases), case load of ~65",55600,0.0,USD,NaN,NaN,United States,New York,8 - 10 years,2 - 4 years,Master's degree,Woman,White
477,478,2021-04-27 12:44:15,45-54,Property or Construction,Office Manager,NaN,49920,0.0,USD,NaN,NaN,United States,Tennessee,21 - 30 years,11 - 20 years,College degree,Woman,White
478,479,2021-04-27 12:44:28,35-44,"Accounting, Banking & Finance",Senior Accountant,NaN,90000,15000.0,USD,NaN,NaN,United States,Illinois,11 - 20 years,2 - 4 years,Master's degree,Woman,White
479,480,2021-04-27 12:44:30,35-44,Sales,Account Executive,NaN,99000,30000.0,USD,NaN,I'm in a sales role and am paid salary plus commission. The additional monetary compensation is my rough estimate of commission that I expect to earn this year.,United States,Ohio,11 - 20 years,2 - 4 years,College degree,Woman,White
480,481,2021-04-27 12:44:43,25-34,Health care,Project Manager,NaN,70000,0.0,USD,NaN,NaN,United States,Massachusetts,5-7 years,2 - 4 years,Master's degree,Woman,White
481,482,2021-04-27 12:44:59,25-34,"Marketing, Advertising & PR",Account Manager,NaN,35000,0.0,USD,NaN,NaN,United States,Colorado,8 - 10 years,5-7 years,Master's degree,Woman,White
482,483,2021-04-27 12:45:07,35-44,Computing or Tech,Senior BI Analyst,NaN,99000,7500.0,USD,NaN,NaN,United States,Maryland,11 - 20 years,5-7 years,Master's degree,Woman,White
483,484,2021-04-27 12:45:32,25-34,Nonprofits,Advocacy Manager,NaN,55000,0.0,USD,NaN,NaN,United States,Massachusetts,5-7 years,5-7 years,College degree,Non-binary,Asian or Asian American
483,484,2021-04-27 12:45:32,25-34,Nonprofits,Advocacy Manager,NaN,55000,0.0,USD,NaN,NaN,United States,Massachusetts,5-7 years,5-7 years,College degree,Non-binary,White
484,485,2021-04-27 12:45:51,35-44,Nonprofits,"Senior Manager, IT",NaN,152630,0.0,USD,NaN,NaN,United States,District of Columbia,11 - 20 years,8 - 10 years,College degree,Woman,White
485,486,2021-04-27 12:46:21,35-44,Nonprofits,Program Administrator,NaN,55000,0.0,USD,NaN,NaN,United States,Kansas,8 - 10 years,8 - 10 years,Master's degree,Woman,Black or African American
486,487,2021-04-27 12:46:37,25-34,Health care,Administrator,NaN,24000,0.0,GBP,NaN,NaN,United Kingdom,NaN,5-7 years,5-7 years,College degree,Woman,White
487,488,2021-04-27 12:46:38,35-44,Nonprofits,Senior Director,NaN,165000,33000.0,USD,NaN,Bonus is based on company wide performance,United States,California,11 - 20 years,11 - 20 years,Master's degree,Woman,Hispanic Latino or Spanish origin
487,488,2021-04-27 12:46:38,35-44,Nonprofits,Senior Director,NaN,165000,33000.0,USD,NaN,Bonus is based on company wide performance,United States,California,11 - 20 years,11 - 20 years,Master's degree,Woman,White
488,489,2021-04-27 12:46:56,35-44,Art & Design,Sr. Manager of Technical Services,"Women's apparel. I'm in charge of all things fit, sizing and quality.",125000,3000.0,USD,NaN,NaN,United States,California,11 - 20 years,11 - 20 years,College degree,Woman,White
489,490,2021-04-27 12:47:12,25-34,Nonprofits,Admission Specialist,"Work at a shelter-based animal rescue, handle intakes from other shelters/
 & surrender requests from public",31200,0.0,USD,NaN,NaN,United States,North Carolina,5-7 years,2 - 4 years,College degree,Non-binary,White
490,491,2021-04-27 12:47:19,25-34,Retail,Operations Leader,NaN,39000,0.0,CAD,NaN,NaN,Canada,NaN,5-7 years,2 - 4 years,High School,Woman,White
491,492,2021-04-27 12:47:40,25-34,Librarian in legal setting,Technical Services Librarian,NaN,78000,5000.0,USD,NaN,NaN,United States,New York,8 - 10 years,8 - 10 years,Master's degree,Woman,White
492,493,2021-04-27 12:47:49,35-44,Nonprofits,Project director / senior policy and communications associate,The project director role is an add on @ 10% additional salary. 10% is reflected.,81950,8190.0,USD,NaN,NaN,United States,California,11 - 20 years,11 - 20 years,Master's degree,Woman,White
